,name,main_category,sub_category,brand,number,tags,price,rating,rating_num,season,gender,like,view,sale,coordi,age18,age19_23,age24_28,age29_33,age34_39,age40,man,woman,img
239,(22SS) 2 TONE ARCH TEE NAVY,상의,반소매 티셔츠,YALE,YC2SS0041NA,"['그래픽티셔츠', '오버핏반팔', '반팔티', '로고', '아이비리그', '최현욱착용']","39,000원",4.9,9811,2022 S/S,"['남', '여']","3,832",1.7만 회 이상,3.1천 개 이상,['캐주얼'],34%,29%,19%,7%,3%,8%,49%,51%,https://image.msscdn.net/images/goods_img/20210312/1841758/1841758_3_500.jpg?t=20220613113643
240,1301 무지티 반팔티,상의,반소매 티셔츠,AAA,1301,"['남자반팔티', '반팔티', '반팔', '반팔티셔츠', '여자반팔티']","15,000원",4.8,451,,['남'],808,3.2천 회 이상,3.2천 개 이상,,33%,17%,26%,13%,6%,5%,76%,24%,https://image.msscdn.net/images/goods_img/20210903/2107416/2107416_1_500.jpg?t=20210903102404
241,S.S PRINT T-SHIRT - WHITE,상의,반소매 티셔츠,NOMANUAL,NM12TS30M1WH,"['반팔티', '반팔티셔츠', '오버핏', '오버핏반팔', '반팔', '22S/S컬렉션', '그래픽']","47,000원",4.9,1226,2022 S/S,"['남', '여']","7,478",2.9만 회 이상,3천 개 이상,['스트릿'],32%,37%,18%,5%,2%,6%,67%,33%,https://image.msscdn.net/images/goods_img/20220126/2329351/2329351_1_500.jpg?t=20220218134912
242,우먼즈 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MWJTS203-WH,"['기본티', '라운드넥', '무신사스탠다드우먼즈', '무지티', '여름티', 'MU-T', '홈웨어컬렉션', '서머아이템기획전']","13,900원",4.8,3520,,['여'],"5,088",4.5천 회 이상,3.2천 개 이상,['캐주얼'],20%,23%,24%,14%,8%,11%,12%,88%,https://image.msscdn.net/images/goods_img/20200423/1417707/1417707_2_500.jpg?t=20200630154826
243,TCM brc T,상의,반소매 티셔츠,THE COLDEST MOMENT,project 7-4,"['티셔츠', '그래픽', '그래픽티셔츠', '그래픽티', '로고티셔츠', '반팔', '오버핏반팔']","43,000원",4.9,736,2021 S/S,['남'],"11,543",2.2만 회 이상,2.7천 개 이상,['캐주얼'],41%,36%,13%,2%,1%,7%,41%,59%,https://image.msscdn.net/images/goods_img/20210219/1804095/1804095_1_500.jpg?t=20210219141421
244,RL701 비 더 프렌즈 반팔 - 화이트,상의,반소매 티셔츠,ROYALLIFE,RL701WH,"['로고', '반팔', '반팔티', '반팔티셔츠', '숏슬리브', '오버핏']","32,000원",4.8,1887,2020 S/S,"['남', '여']","10,149",6.3천 회 이상,3.1천 개 이상,['캐주얼'],30%,26%,21%,10%,6%,7%,58%,42%,https://image.msscdn.net/images/goods_img/20200403/1384261/1384261_1_500.jpg?t=20200406141626
245,UNIVERSITY HANDSOME DAN TEE WHITE,상의,반소매 티셔츠,YALE,YA2SS0041WH,"['여름반팔티', '티셔츠', '반팔티', '반팔', '반팔티셔츠', '여름반팔', '그래픽']","42,000원",4.9,3217,2021 S/S,"['남', '여']","4,765",1.5만 회 이상,3.1천 개 이상,,44%,24%,14%,6%,2%,10%,50%,50%,https://image.msscdn.net/images/goods_img/20220411/2479604/2479604_1_500.jpg?t=20220412142258
246,실켓 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS311-WH,"['기본티', '라운드넥', '루즈핏', '면티셔츠', '무지티', 'MU-T', '프리미엄컬렉션', '무탠픽업', '반소매티셔츠']","30,900원",4.8,3217,2021 S/S,['남'],"1,918",3.6천 회 이상,3천 개 이상,"['스포츠', '캐주얼']",14%,15%,27%,22%,12%,10%,91%,9%,https://image.msscdn.net/images/goods_img/20210415/1901121/1901121_1_500.jpg?t=20210415163555
247,VARSITY LOGO TEE WHITE(MG2CMMT501A),상의,반소매 티셔츠,MAHAGRID,MG2CMMT501AWH,"['티셔츠', '로고티셔츠', '반팔티셔츠', '반팔', '티셔츠추천', '여름반팔티', '마하그리드×스트레이키즈', '로고/레터링']","29,000원",4.9,945,2022 S/S,"['남', '여']","6,127",1만 회 이상,3천 개 이상,['캐주얼'],34%,30%,18%,7%,4%,7%,45%,55%,https://image.msscdn.net/images/goods_img/20220308/2404954/2404954_1_500.jpg?t=20220308183928
248,[패키지] 스탠딩 라이프 반팔 5종 SMST4480,상의,반소매 티셔츠,PERSTEP,2218958,"['반팔', '여름반팔티', '오버핏반팔', '티셔츠', '반팔티셔츠', '반팔티', '여름반팔']","59,600원",4.8,450,2022 S/S,['남'],"4,489",1.6만 회 이상,2.9천 개 이상,['캐주얼'],25%,27%,25%,11%,5%,7%,72%,28%,https://image.msscdn.net/images/goods_img/20220401/2461317/2461317_3_500.jpg?t=20220531102823
