,name,main_category,sub_category,brand,number,tags,price,rating,rating_num,season,gender,like,view,sale,coordi,age18,age19_23,age24_28,age29_33,age34_39,age40,man,woman,img
0,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMJTS113-WH,"['기본티셔츠', '라운드넥', 'MU-T', '레귤러핏', '베이직티', '무지티', '무탠픽업', '서머아이템기획전']","13,900원",4.7,44302,,['남'],"69,869",1.5만 회 이상,14.3만 개 이상,"['캐주얼', '스포츠', '댄디']",42%,23%,14%,8%,6%,7%,80%,20%,https://image.msscdn.net/images/goods_img/20200402/1382658/1382658_5_500.jpg?t=20210705133843
1,에센셜 쿨 코튼 2-PACK 티셔츠,상의,반소매 티셔츠,COVERNAT,CO0000STE1BK,"['반팔티셔츠', '티셔츠', '반팔티', '오버핏반팔', '에센셜라인', '쿨코튼', '썸머컬렉션', '로고티셔츠', '입시덕후', '깡스타일리스트PICK']","49,000원",4.8,32541,2022 S/S,"['남', '여']","126,528",41.9만 회 이상,12.6만 개 이상,"['걸리시', '아메리칸 캐주얼', '캐주얼']",37%,21%,19%,11%,4%,8%,64%,36%,https://image.msscdn.net/images/goods_img/20210316/1848166/1848166_11_500.jpg?t=20220404173105
2,릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0005-WH,"['기본티', '라운드넥', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션', '유아인착장상품', '베이식']","11,900원",4.8,159295,,['남'],"61,698",11.6만 회 이상,12.7만 개 이상,"['댄디', '캐주얼']",28%,26%,21%,12%,6%,7%,80%,20%,https://image.msscdn.net/images/goods_img/20190327/996177/996177_3_500.jpg?t=20201109162820
3,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMATS701-WH,"['레귤러핏', '베이직티', '무지티', '기본티셔츠', '라운드넥', 'MU-T', '무탠픽업', '무지', '반소매티셔츠']","13,900원",4.9,20454,2021 F/W,['남'],"31,510",2.7만 회 이상,9.3만 개 이상,"['스포츠', '캐주얼']",32%,29%,17%,9%,5%,8%,83%,17%,https://image.msscdn.net/images/goods_img/20210825/2086653/2086653_1_500.jpg?t=20210930122911
4,릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0005-BK,"['기본티', '라운드넥', '루즈핏', '면티셔츠', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션']","11,900원",4.8,159295,,['남'],"27,400",5만 회 이상,6.3만 개 이상,"['댄디', '캐주얼']",22%,24%,25%,15%,7%,7%,83%,17%,https://image.msscdn.net/images/goods_img/20190327/996178/996178_3_500.jpg?t=20201109160345
5,미시간 울버린 피그먼트  반팔티 블랙차콜,상의,반소매 티셔츠,TRAVEL,TRTOASURS12UC5,"['라운드티', '반팔', '반팔티', '반팔티셔츠', '티셔츠', '그래픽티셔츠', '그래픽']","39,000원",4.8,17284,ALL S/S,"['남', '여']","82,783",19.6만 회 이상,6만 개 이상,"['스트릿', '캐주얼']",34%,28%,19%,9%,3%,7%,63%,37%,https://image.msscdn.net/images/goods_img/20210407/1884943/1884943_1_500.jpg?t=20210409104606
6,[패키지] NYC LOCATION T-SHIRT (16COLOR) [LRQMCTA401M],상의,반소매 티셔츠,GROOVE RHYME,LRQMCTA401M,"['로고', '맨투맨', '반팔티', '오버사이즈', '오버핏', '티셔츠', '패키지']","58,000원",4.8,34213,ALL S/S,"['남', '여']","78,367",9.6만 회 이상,5.3만 개 이상,"['스포츠', '캐주얼']",34%,24%,18%,9%,5%,10%,57%,43%,https://image.msscdn.net/images/goods_img/20200424/1420730/1420730_1_500.jpg?t=20210325094210
7,빅 트위치 로고 티셔츠 화이트,상의,반소매 티셔츠,LEE,LE2202ST01WH,"['로고', '반팔티', '빅로고', 'LEE반팔티', '트위치', '남녀공용', '그래픽']","35,000원",4.8,47389,ALL ALL,['남'],"106,201",13.6만 회 이상,5.2만 개 이상,['캐주얼'],53%,21%,10%,3%,2%,11%,47%,53%,https://image.msscdn.net/images/goods_img/20181112/903340/903340_7_500.jpg?t=20210528101751
8,021541 레이어드 반팔 티셔츠(2pck),상의,반소매 티셔츠,GIORDANO,021541,"['기본티셔츠', '티셔츠', '베이직티셔츠', '긴팔티', '긴팔티셔츠', '레이어드티']","19,800원",4.8,12861,2021 S/S,['남'],"12,929",5천 회 이상,4.6만 개 이상,"['스트릿', '댄디']",24%,32%,22%,11%,5%,6%,87%,13%,https://image.msscdn.net/images/goods_img/20210225/1815503/1815503_3_500.jpg?t=20210226134947
9,(22SS) 2 TONE ARCH TEE WHITE,상의,반소매 티셔츠,YALE,YC2SS0041WH,"['그래픽티셔츠', '오버핏반팔', '반팔티', '로고', '아이비리그', '그래픽', '최현욱착용']","39,000원",4.9,9808,2022 S/S,"['남', '여']","64,287",25.4만 회 이상,4.2만 개 이상,['캐주얼'],44%,25%,13%,6%,2%,10%,58%,42%,https://image.msscdn.net/images/goods_img/20210312/1841764/1841764_3_500.jpg?t=20220413132105
10,우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MWJTS202-WH,"['기본티', '라운드넥', '무신사스탠다드우먼즈', '무지티', '여름티', 'MU-T', '반소매']","12,900원",4.9,27543,,['여'],"37,919",3.6만 회 이상,4.2만 개 이상,['캐주얼'],24%,29%,24%,11%,4%,8%,8%,92%,https://image.msscdn.net/images/goods_img/20200423/1417691/1417691_2_500.jpg?t=20200630160047
11,릴렉스 핏 크루 넥 반팔 티셔츠 2팩,상의,반소매 티셔츠,MUSINSA STANDARD,MMATE407,"['MU-T', '기본티', '무지티', '라운드넥', '면티셔츠', '반팔티', '홈웨어컬렉션', '세트상품', '무지', '반소매티셔츠']","21,800원",4.9,8124,2021 S/S,['남'],"14,804",6.3만 회 이상,4.1만 개 이상,,21%,32%,25%,12%,4%,6%,82%,18%,https://image.msscdn.net/images/goods_img/20210719/2034137/2034137_1_500.jpg?t=20210720164034
12,베이식 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0004-WH,"['기본티', '라운드넥', '면티셔츠', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션', '서머아이템기획전']","10,900원",4.8,42237,,['남'],"18,063",2.2만 회 이상,4만 개 이상,"['댄디', '캐주얼']",23%,26%,24%,14%,6%,7%,77%,23%,https://image.msscdn.net/images/goods_img/20190327/996497/996497_4_500.jpg?t=20201110162814
13,쿨코튼 2-PACK 베츠 기본 반팔 티셔츠 블랙/화이트,상의,반소매 티셔츠,EBBETSFIELD,EB2202ST30BK,"['반팔', '라운드티', '반팔티셔츠', '오버핏티셔츠', '반팔티', '오버핏반팔', '베츠', '로고/레터링', '쿨코튼2-PACK컬렉션']","49,000원",4.9,7930,2021 S/S,['남'],"36,209",10.3만 회 이상,3.9만 개 이상,"['아메리칸 캐주얼', '캐주얼']",32%,23%,20%,11%,5%,9%,58%,42%,https://image.msscdn.net/images/goods_img/20210506/1939099/1939099_5_500.jpg?t=20220318110504
14,(22SS) EMBROIDERY UNIVERSITY DAN TEE WHITE,상의,반소매 티셔츠,YALE,YC2SS0031WH,"['그래픽티셔츠', '반팔티셔츠', '반팔티', '반팔', '로고', '아이비리그', '유니버시티댄']","39,000원",4.9,23244,2022 S/S,"['남', '여']","48,883",6.1만 회 이상,3.8만 개 이상,['캐주얼'],28%,28%,25%,10%,3%,6%,53%,47%,https://image.msscdn.net/images/goods_img/20210407/1886950/1886950_9_500.jpg?t=20220502114533
15,고밀도순면기본반팔티셔츠_3팩 MATS0101,상의,반소매 티셔츠,MINDBRIDGE,MATS0101,"['기본티셔츠', '무지반팔티', '이너티셔츠', '레이어드반팔', '반팔티', '2PACK패키지', '레이어드티']","19,900원",4.8,10493,ALL ALL,['남'],"13,650",1.1만 회 이상,3.3만 개 이상,['캐주얼'],22%,28%,26%,14%,4%,6%,79%,21%,https://image.msscdn.net/images/goods_img/20201110/1685307/1685307_2_500.jpg?t=20210121110022
16,[ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,상의,반소매 티셔츠,YALE,YC1SS1021BK,"['반팔티', '로고', '여름반팔티', '남자반팔티', '반팔티셔츠', '원마일웨어', '패키지/셋업']","78,000원",4.9,6319,2022 S/S,"['남', '여']","31,849",19.8만 회 이상,3.3만 개 이상,['캐주얼'],31%,26%,23%,10%,3%,7%,64%,36%,https://image.msscdn.net/images/goods_img/20220324/2442409/2442409_1_500.jpg?t=20220325123159
17,[패키지][페플] 스테이 얼론 + 보드마스터 그래픽 티셔츠 2PACK ( JDST1315+JDST1358),상의,반소매 티셔츠,FP142,2125031,"['베이직티셔츠', '오버핏', '그래픽티셔츠', '로고티셔츠', '반팔티', '오버핏티셔츠']","53,800원",4.8,2289,2022 S/S,['남'],"31,874",36만 회 이상,3만 개 이상,['캐주얼'],31%,26%,20%,10%,5%,8%,73%,27%,https://image.msscdn.net/images/goods_img/20210427/1921901/1921901_4_500.jpg?t=20220526112027
18,TSHIRT FLOWERMARDI_WHITE GREEN,상의,반소매 티셔츠,MARDI MERCREDI,MM20TS015,"['그래픽', '티셔츠']","42,000원",4.9,8193,,['여'],"61,650",11.2만 회 이상,3만 개 이상,"['홈웨어', '캐주얼']",39%,25%,14%,6%,5%,11%,21%,79%,https://image.msscdn.net/images/goods_img/20200701/1503352/1503352_2_500.jpg?t=20220426144656
19,TSHIRT FLOWERMARDI_IVORY NAVY,상의,반소매 티셔츠,MARDI MERCREDI,430770,['그래픽'],"42,000원",4.9,3976,2022 S/S,['여'],"51,021",16.3만 회 이상,2.4만 개 이상,['캐주얼'],35%,28%,17%,7%,4%,9%,18%,82%,https://image.msscdn.net/images/goods_img/20220329/2453556/2453556_1_500.jpg?t=20220331173150
20,[패키지] 더블코튼 무지반팔  패키지 KHST1011,상의,반소매 티셔츠,FP142,565175,"['레이어드', '면티', '무지반팔', '반팔티', '티셔츠', '페플무지', '오버핏반팔', '무지']","31,800원",4.8,6556,,['남'],"17,935",5.9만 회 이상,2.3만 개 이상,"['골프', '댄디', '캐주얼']",25%,27%,23%,14%,5%,6%,85%,15%,https://image.msscdn.net/images/goods_img/20160429/345889/345889_12_500.jpg?t=20220415100101
21,[2PACK] 베이식 무지 레이어드 반팔 티셔츠 일반 기장,상의,반소매 티셔츠,PRINTSTAR,2-085,"['반팔', '반팔티셔츠', '반팔티', '티셔츠', '레이어드', '이너', '레이어드룩']","20,000원",4.8,5071,병행수입,['남'],"8,434",7.7천 회 이상,2.3만 개 이상,"['댄디', '스포츠', '캐주얼']",26%,29%,23%,11%,5%,6%,85%,15%,https://image.msscdn.net/images/goods_img/20211019/2186292/2186292_1_500.jpg?t=20220628164725
22,포켓반팔티 K87 남여공용 기본티 반팔 모음,상의,반소매 티셔츠,CARHARTT,12495352,['포켓'],"49,900원",4.8,2453,,['남'],"38,315",12.3만 회 이상,2.1만 개 이상,"['스트릿', '아메리칸 캐주얼']",32%,30%,20%,9%,3%,6%,60%,40%,https://image.msscdn.net/images/goods_img/20191127/1236364/1236364_3_500.jpg?t=20211117105555
23,[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 2팩,상의,반소매 티셔츠,MUSINSA STANDARD,MMATS404,"['쿨탠다드', 'MU-T', '베이직티', '여름티', '무지티', '기능성', '아스킨', '라운드넥', '세트상품', '무지']","31,800원",4.9,4361,2021 S/S,['남'],"8,110",6.1만 회 이상,2.2만 개 이상,,18%,23%,29%,17%,7%,6%,82%,18%,https://image.msscdn.net/images/goods_img/20210720/2035287/2035287_1_500.jpg?t=20210720164250
24,[쿨코튼] CGP 아치 로고 티셔츠,상의,반소매 티셔츠,CODEGRAPHY,CBBU3TS221,"['반팔티', '반팔', '반팔티셔츠', '레이어드', '레이어드티', '레이어드반팔', '오버핏반팔']","34,000원",4.8,2854,2022 S/S,"['남', '여']","32,461",11.3만 회 이상,2.1만 개 이상,['캐주얼'],44%,28%,13%,5%,2%,8%,48%,52%,https://image.msscdn.net/images/goods_img/20220307/2402005/2402005_3_500.jpg?t=20220426092233
25,[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MMJTS119-BK,"['기능성', '쿨탠다드', 'MU-T', '라운드넥', '여름티', '무지티', '무탠픽업', '유아인착장상품']","16,900원",4.9,25384,,['남'],"12,122",8.3만 회 이상,2.1만 개 이상,"['댄디', '캐주얼']",17%,25%,30%,17%,6%,5%,87%,13%,https://image.msscdn.net/images/goods_img/20200407/1388775/1388775_2_500.jpg?t=20220520112826
26,[패키지] 10TH ANNIVERSARY 3PACK T-SHIRTS EDITION,상의,반소매 티셔츠,GROOVE RHYME,"LRPMCTA411M, LRPMCTA412M, LRPMCTA413M","['그래픽티셔츠', '로고티셔츠', '반팔티', '루즈핏티셔츠', '티셔츠', '반팔', '패키지']","75,000원",4.8,4312,2021 S/S,['남'],"22,853",8.7만 회 이상,2.1만 개 이상,['캐주얼'],33%,21%,17%,10%,7%,12%,59%,41%,https://image.msscdn.net/images/goods_img/20210324/1860490/1860490_1_500.jpg?t=20210326092544
27,액티비티 클럽 피그먼트 반팔티 크림,상의,반소매 티셔츠,TRAVEL,TRTOSURS40UI4,"['라운드티', '반팔', '반팔티', '피그먼트', '반팔티셔츠', '오버핏반팔', '그래픽']","39,000원",4.8,3369,ALL S/S,"['남', '여']","37,916",10.4만 회 이상,1.8만 개 이상,['캐주얼'],32%,29%,19%,9%,4%,7%,64%,36%,https://image.msscdn.net/images/goods_img/20210415/1899755/1899755_1_500.jpg?t=20210419163021
28,IN LOVE TEE(WHITE),상의,반소매 티셔츠,LUV IS TRUE,4377245,"['베이직티셔츠', '반팔티', '반팔', '반팔티셔츠', '라운드티', '여성반팔티', '그래픽']","32,000원",4.8,4673,2021 S/S,['여'],"65,557",11.3만 회 이상,2.1만 개 이상,"['홈웨어', '걸리시', '캐주얼']",35%,34%,16%,6%,2%,7%,8%,92%,https://image.msscdn.net/images/goods_img/20210205/1779737/1779737_2_500.jpg?t=20210205121558
29,빅 트위치 로고 티셔츠 블랙,상의,반소매 티셔츠,LEE,LE2202ST01BK,"['반팔티', '반팔티셔츠', 'LEE반팔티', '빅로고', '로고', '남녀공용', '트위치', '그래픽']","35,000원",4.8,47389,ALL ALL,"['남', '여']","41,247",4.6만 회 이상,2만 개 이상,['캐주얼'],47%,23%,11%,4%,2%,13%,43%,57%,https://image.msscdn.net/images/goods_img/20210215/1793420/1793420_6_500.jpg?t=20220216191835
30,[패키지] 핀스 오버핏 카라 반팔티 2PACK YHST2354,상의,반소매 티셔츠,JEMUT,2122672,"['반팔', '남자반팔', '여름반팔티', '오버핏반팔', '반팔티', '반팔티셔츠', '오버핏티셔츠']","57,800원",4.8,3865,2022 S/S,['남'],"26,113",18.3만 회 이상,1.8만 개 이상,"['댄디', '캐주얼']",22%,29%,26%,13%,5%,5%,85%,15%,https://image.msscdn.net/images/goods_img/20210421/1911516/1911516_1_500.jpg?t=20210421100949
31,(1+1 세트구성) 챔피온 T425 티셔츠,상의,반소매 티셔츠,CHAMPION,T425,"['무지티', '반팔티', '챔피온반팔티', '여자반팔티', '티셔츠', '남자반팔티', '반팔']","50,000원",4.7,7806,,['남'],"18,886",3.4만 회 이상,2만 개 이상,['스포츠'],31%,24%,21%,11%,5%,8%,62%,38%,https://image.msscdn.net/images/goods_img/20180601/792918/792918_2_500.jpg?t=20200408111427
32,베이식 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MITS0004-BK,"['기본티', '라운드넥', '면티셔츠', '무지티', '반팔티', 'MU-T', '홈웨어컬렉션', '서머아이템기획전']","10,900원",4.8,42237,,['남'],"7,705",1.2만 회 이상,1.9만 개 이상,"['댄디', '캐주얼']",20%,25%,25%,16%,7%,7%,79%,21%,https://image.msscdn.net/images/goods_img/20190327/996498/996498_3_500.jpg?t=20201110162729
33,[패키지] 에디 오버핏 반팔티셔츠 패키지 KJST2189,상의,반소매 티셔츠,JEMUT,1746055,"['무지반팔', '반팔', '반팔티', '숏슬리브', '오버핏', '오버핏반팔', '패키지']","43,800원",4.7,14471,,['남'],"27,553",4만 회 이상,1.9만 개 이상,"['스트릿', '캐주얼']",23%,15%,18%,17%,15%,12%,77%,23%,https://image.msscdn.net/images/goods_img/20190319/987149/987149_4_500.jpg?t=20220629100029
34,BLACK CAT TEE [WHITE],상의,반소매 티셔츠,VIVASTUDIO,LSVT100,"['22S/S컬렉션', '그래픽', '고양이', '고양이티셔츠']","39,000원",4.8,4025,2022 S/S,"['남', '여']","52,721",9.5만 회 이상,1.8만 개 이상,['캐주얼'],44%,30%,13%,4%,1%,8%,42%,58%,https://image.msscdn.net/images/goods_img/20220126/2329824/2329824_3_500.jpg?t=20220412112337
35,MATIN KIM LOGO SILKET CROP TOP,상의,반소매 티셔츠,MATIN KIM,P0000DGR,[],"39,000원",4.8,4350,2021 S/S,['여'],"55,730",11.2만 회 이상,1.7만 개 이상,"['홈웨어', '캐주얼']",29%,44%,18%,4%,1%,4%,9%,91%,https://image.msscdn.net/images/goods_img/20210701/2015684/2015684_1_500.jpg?t=20210702002658
36,[패키지] Short_sleeve 레이어드 트임 반팔티,상의,반소매 티셔츠,BRENSON,BR485,"['티셔츠', '오버핏', '루즈핏', '레이어드', '기본티', '반팔', '반팔티']","39,800원",4.8,6223,ALL ALL,['남'],"13,221",7.5천 회 이상,1.8만 개 이상,"['댄디', '스포츠', '캐주얼']",20%,27%,21%,14%,9%,9%,80%,20%,https://image.msscdn.net/images/goods_img/20210222/1807072/1807072_2_500.jpg?t=20210810150802
37,PHYPS® YOGA BEGINNER CLASS SS LIGHT GRAY,상의,반소매 티셔츠,PHYSICAL EDUCATION DEPARTMENT,PE3SS0021GR,"['티셔츠', '반팔티', '반팔', '그래픽티셔츠', 'YOGA', '그래픽', '요가베어']","42,000원",4.9,6923,2022 S/S,"['남', '여']","31,802",4.2만 회 이상,1.7만 개 이상,"['홈웨어', '캐주얼']",35%,28%,20%,8%,3%,6%,38%,62%,https://image.msscdn.net/images/goods_img/20210324/1862477/1862477_4_500.jpg?t=20220507143407
38,EBFD 베츠 반팔 티셔츠 블루,상의,반소매 티셔츠,EBBETSFIELD,EB2102ST01BL,"['반팔티', '오버핏티셔츠', '반팔', '반팔티셔츠', '티셔츠', '오버핏반팔', '베츠']","39,000원",4.8,10231,2021 S/S,"['남', '여']","41,811",4.3만 회 이상,1.8만 개 이상,['캐주얼'],42%,25%,13%,6%,4%,10%,54%,46%,https://image.msscdn.net/images/goods_img/20210316/1846930/1846930_6_500.jpg?t=20220422105218
39,라인 서퍼맨 티셔츠 화이트,상의,반소매 티셔츠,COVERNAT,CO1804SL20WH,"['그래픽', '반팔', '서퍼맨', '오버핏', '트로피컬', '썸머컬렉션', '그래픽티셔츠']","39,000원",4.8,22884,2020 S/S,"['남', '여']","38,708",6.7만 회 이상,1.7만 개 이상,['캐주얼'],32%,20%,17%,12%,7%,12%,50%,50%,https://image.msscdn.net/images/goods_img/20180406/751030/751030_5_500.jpg?t=20210426110059
40,더블 엔젤 와펜 반팔 티셔츠 블랙,상의,반소매 티셔츠,WHATITISNT,MG2200ST06BK,"['반팔티셔츠', '반팔티', '티셔츠', '반팔', '엔젤와펜', '동행세일', '로고/레터링', '더블엔젤']","39,000원",4.8,8302,2022 S/S,"['남', '여']","28,321",3.7만 회 이상,1.7만 개 이상,['캐주얼'],42%,22%,14%,6%,3%,13%,54%,46%,https://image.msscdn.net/images/goods_img/20210315/1845485/1845485_2_500.jpg?t=20220329162400
41,(22SS) 2 TONE ARCH TEE ROYAL BLUE,상의,반소매 티셔츠,YALE,YC2SS0041RB,"['그래픽', '최현욱착용']","39,000원",4.9,9808,2022 S/S,"['남', '여']","25,264",14.5만 회 이상,1.7만 개 이상,['캐주얼'],36%,30%,18%,7%,2%,7%,62%,38%,https://image.msscdn.net/images/goods_img/20220407/2471760/2471760_8_500.jpg?t=20220503134644
42,020940 레이어드 반팔 티,상의,반소매 티셔츠,GIORDANO,020940,"['기본티', '면티', '티셔츠', '반팔티셔츠']","12,800원",4.8,6523,2020 S/S,['남'],"6,810",3.2천 회 이상,1.7만 개 이상,,36%,26%,19%,8%,4%,7%,84%,16%,https://image.msscdn.net/images/goods_img/20201014/1648564/1648564_2_500.jpg?t=20201015161435
43,[세트상품] 더블 코튼 롱 티셔츠,상의,반소매 티셔츠,ACOVER,ACT055,"['면티', '무지', '반팔티', '티셔츠', '반팔', '반팔티셔츠', '커플티']","60,000원",4.8,31674,,"['남', '여']","28,364",1.2만 회 이상,1.7만 개 이상,['댄디'],24%,20%,25%,15%,7%,9%,55%,45%,https://image.msscdn.net/images/goods_img/20160322/324416/324416_1_500.jpg?t=20210625131411
44,(22SS) UNIVERSITY DAN TEE WHITE / RED,상의,반소매 티셔츠,YALE,YC2SS0011WH,"['오버핏티셔츠', '로고티셔츠', '반팔티셔츠', '핸섬댄', '아이비리그', '유니버시티댄', '최현욱착용']","42,000원",4.9,15867,2022 S/S,"['남', '여']","33,270",3.5만 회 이상,1.6만 개 이상,['캐주얼'],42%,27%,14%,6%,2%,9%,58%,42%,https://image.msscdn.net/images/goods_img/20210304/1827193/1827193_7_500.jpg?t=20220504162703
45,베이식 크루 넥 반팔 티셔츠 2팩,상의,반소매 티셔츠,MUSINSA STANDARD,MMATS412,"['MU-T', '기본티', '무지티', '반팔티', '무지반팔', '여름티', '면티셔츠', '라운드넥', '세트상품', '반소매티셔츠']","19,800원",4.9,3078,2021 S/S,['남'],"6,021",1.2만 회 이상,1.6만 개 이상,,21%,30%,25%,13%,5%,6%,78%,22%,https://image.msscdn.net/images/goods_img/20210805/2050094/2050094_1_500.jpg?t=20210818090733
46,우먼즈 베이식 크루 넥 반팔 티셔츠 [블랙],상의,반소매 티셔츠,MUSINSA STANDARD,MWJTS202-BK,"['기본티', '라운드넥', '무신사스탠다드우먼즈', '무지티', '여름티', 'MU-T', '반소매']","12,900원",4.9,27543,,['여'],"13,842",1.5만 회 이상,1.6만 개 이상,['캐주얼'],19%,29%,26%,12%,5%,9%,7%,93%,https://image.msscdn.net/images/goods_img/20200423/1417692/1417692_2_500.jpg?t=20200630160033
47,백로고 3팩 반팔 티셔츠 BACKLOGO 3PACK TS,상의,반소매 티셔츠,OUTDOOR PRODUCTS,WO136QCSSZ51,[],"49,900원",4.8,3991,2022 S/S,"['남', '여']","24,289",4.4만 회 이상,1.5만 개 이상,"['스포츠', '캐주얼']",26%,19%,22%,13%,8%,12%,47%,53%,https://image.msscdn.net/images/goods_img/20210412/1893766/1893766_2_500.jpg?t=20210427154411
48,TAG KP TEE - BLACK,상의,반소매 티셔츠,BROWNBREATH,BHMMST001BK,"['로고티', '반팔티셔츠', '로고티셔츠', '남자반팔티', '여자반팔티', '기본티셔츠', '그래픽티셔츠', '그래픽', '신스컬렉션']","36,000원",4.8,8662,2022 S/S,"['남', '여']","22,888",7.1만 회 이상,1.5만 개 이상,"['스트릿', '캐주얼']",36%,26%,15%,8%,4%,11%,50%,50%,https://image.msscdn.net/images/goods_img/20220222/2376229/2376229_2_500.jpg?t=20220224121426
49,(22SS) EMBROIDERY UNIVERSITY DAN TEE BLACK,상의,반소매 티셔츠,YALE,YC2SS0031BK,"['그래픽티셔츠', '반팔티셔츠', '반팔티', '반팔', '로고', '유니버시티댄', '클래식']","39,000원",4.9,23244,2022 S/S,"['남', '여']","15,234",1.8만 회 이상,1.4만 개 이상,['캐주얼'],24%,29%,27%,11%,3%,6%,56%,44%,https://image.msscdn.net/images/goods_img/20210407/1886956/1886956_2_500.jpg?t=20220418093440
50,빅 트위치 로고 티셔츠 그린,상의,반소매 티셔츠,LEE,LE2202ST01GN,"['반팔티', 'LEE반팔티', '로고', '빅로고', '트위치', '남녀공용']","35,000원",4.8,47389,ALL ALL,"['남', '여']","38,194",6.6만 회 이상,1.4만 개 이상,['캐주얼'],41%,29%,14%,5%,2%,9%,33%,67%,https://image.msscdn.net/images/goods_img/20210302/1820701/1820701_4_500.jpg?t=20220216191927
51,2PACK 수피마 코튼 티셔츠,상의,반소매 티셔츠,COOR,CMN2TS01V-2PACK,"['반팔', '반팔티', '반팔티셔츠', '오버핏', '티셔츠', '여름반팔티', '무지']","70,000원",4.9,1989,2022 S/S,['남'],"13,295",14.3만 회 이상,1.3만 개 이상,['캐주얼'],19%,23%,31%,17%,6%,4%,93%,7%,https://image.msscdn.net/images/goods_img/20220411/2479911/2479911_2_500.jpg?t=20220602173224
52,[쿨탠다드] 릴렉스 핏 크루 넥 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MMJTS119-WH,"['기능성', '쿨탠다드', 'MU-T', '라운드넥', '여름티', '아스킨', '무지티', '베이직티']","16,900원",4.9,25384,,['남'],"8,953",2.8만 회 이상,1.4만 개 이상,"['댄디', '캐주얼']",16%,21%,28%,19%,9%,7%,85%,15%,https://image.msscdn.net/images/goods_img/20200407/1388776/1388776_2_500.jpg?t=20210420111631
53,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,상의,반소매 티셔츠,MUSINSA STANDARD,MMATS402,"['라운드넥', '레귤러핏', '무지티', '베이직티', '기본티셔츠', 'MU-T', '세트상품', '반소매티셔츠']","25,800원",4.9,20454,2021 F/W,['남'],"6,163",5.2천 회 이상,1.4만 개 이상,"['스포츠', '캐주얼']",20%,26%,23%,14%,8%,9%,80%,20%,https://image.msscdn.net/images/goods_img/20210910/2122566/2122566_2_500.jpg?t=20220414145933
54,우먼즈 크루 넥 크롭 반팔 티셔츠 [화이트],상의,반소매 티셔츠,MUSINSA STANDARD,MWJTS208-WH,"['기본티', '라운드넥', '무신사스탠다드우먼즈', '여름티', 'MU-T', '크롭티', '무탠픽업', '정호연PICK']","11,900원",4.8,11215,,['여'],"21,362",4만 회 이상,1.4만 개 이상,['캐주얼'],27%,30%,22%,11%,4%,6%,5%,95%,https://image.msscdn.net/images/goods_img/20200423/1417715/1417715_2_500.jpg?t=20200630164153
55,쿨 코튼 2-PACK 티셔츠 화이트,상의,반소매 티셔츠,COVERNAT,CO2102ST01WH,"['반팔', '반팔티셔츠', '티셔츠', '반팔티', '오버핏', '남자반팔티', '썸머컬렉션', '쿨코튼']","43,000원",4.8,32542,ALL ALL,"['남', '여']","16,101",3.7만 회 이상,1.3만 개 이상,"['걸리시', '아메리칸 캐주얼', '캐주얼']",28%,22%,20%,12%,6%,12%,56%,44%,https://image.msscdn.net/images/goods_img/20210510/1943792/1943792_5_500.jpg?t=20220616183934
56,[쿨코튼] CGP 스몰로고 2PACK 티셔츠,상의,반소매 티셔츠,CODEGRAPHY,CBBU3TS190ZZ,"['반팔티', '반팔티셔츠', '반팔', '레이어드', '레이어드티', '쿨코튼', '오버핏반팔']","59,000원",4.8,2053,2022 S/S,['남'],"13,305",6.9만 회 이상,1.3만 개 이상,['캐주얼'],33%,24%,21%,10%,4%,8%,58%,42%,https://image.msscdn.net/images/goods_img/20220307/2401885/2401885_6_500.jpg?t=20220615100244
57,듀스 네로 반팔티 화이트,상의,반소매 티셔츠,FALLETT,FA2202ST28WH,"['반팔', '반팔티', '고양이', '오버핏', '그래픽', '썸머컬렉션', '우먼컬렉션']","43,000원",4.8,2918,2022 S/S,"['남', '여']","46,913",13.3만 회 이상,1.3만 개 이상,"['홈웨어', '캐주얼']",44%,31%,13%,4%,1%,7%,40%,60%,https://image.msscdn.net/images/goods_img/20220217/2368712/2368712_2_500.jpg?t=20220627154152
